,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Green Bay,Green Bay,LOC,-0.18750000,0.43750000,en,1.60000000,,-1,,,,,,
SHREVEPORT,SHREVEPORT,GPE,0.00000000,0.00000000,en,1.60000000,,-1,,,,,,
Poland,Poland,GPE,0.62500000,1.12500000,en,1.60000000,,-1,,,,,,
Columbus,Columbus,GPE,-0.37500000,0.89583333,en,1.60000000,,-1,,,,,,
Denver,Denver,GPE,-0.71875000,1.15625000,en,1.60000000,,-1,,,,,,
La.,La.,GPE,0.00000000,0.00000000,en,1.60000000,,-1,,,,,,
Arkansas,Arkansas,GPE,0.11421911,0.67132867,en,1.30000000,4079828-8,4099753,X,34.75036900,-92.50043900,NORTH-AMERICA,United States,CNA
Ladakh,Ladakh,GPE,-0.42788462,1.10576923,en,1.30000000,,-1,,,,,,
New Delhi,New Delhi,GPE,-0.05157343,0.88578089,en,1.30000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
West Yorkshire,West Yorkshire,GPE,0.03846154,0.16239316,en,1.30000000,4079201-8,2634219,X,53.70000000,-1.58332900,EUROPE,United Kingdom,NEU
DALLAS,DALLAS,GPE,-0.00534188,0.87393162,en,1.30000000,,-1,,,,,,
Netherlands,Netherlands,GPE,0.17948718,0.46153846,en,1.30000000,,-1,,,,,,
Mount Rainier,Mount Rainier,GPE,-0.17948718,0.56410256,en,1.30000000,,-1,,,,,,
Luton,Luton,GPE,0.09294872,0.32478632,en,1.30000000,4111438-3,2643339,X,51.87966900,-0.41748000,EUROPE,United Kingdom,NEU
Bangladesh,Bangladesh,GPE,0.31367521,0.87435897,en,1.30000000,4130903-0,1210997,X,24.00000000,90.00000000,ASIA,Bangladesh,SAS
Maine,Maine,GPE,-0.00979021,0.50069930,en,1.30000000,4114929-4,4971068,X,45.50032000,-69.24976900,NORTH-AMERICA,United States,ENA
Dallas,Dallas,GPE,0.38461538,0.50769231,en,1.30000000,,-1,,,,,,
Mediterranean,Mediterranean,LOC,-0.23076923,0.36538462,en,1.30000000,,-1,,,,,,
Antarctic,Antarctic,LOC,-0.05714286,0.74725275,en,1.30000000,,-1,,,,,,
Nebraska,Nebraska,GPE,-0.15192308,0.98846154,en,1.30000000,4117792-7,5073708,X,41.50027900,-99.75066900,NORTH-AMERICA,United States,CNA
Rocky Mountains,Rocky Mountains,LOC,0.27505828,0.69463869,en,1.30000000,,-1,,,,,,
East Coast,East Coast,LOC,-0.35897436,0.96153846,en,1.30000000,,-1,,,,,,
Shimla,Shimla,GPE,-0.03846154,0.57692308,en,1.30000000,4118663-1,1256237,X,31.10444400,77.16666600,ASIA,India,TIB
Manhattan,Manhattan,GPE,-0.42307692,0.56410256,en,1.30000000,,-1,,,,,,
Harbin,Harbin,GPE,0.23076923,0.25000000,en,1.30000000,4072316-1,2037013,X,45.75000000,126.65000000,ASIA,China,ESB
ZIKV,ZIKV,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
switzerland,switzerland,GPE,0.09615385,0.16666667,en,1.30000000,,-1,,,,,,
Cougars,Cougars,GPE,0.20192308,0.59615385,en,1.30000000,,-1,,,,,,
Leeds,Leeds,GPE,0.03846154,0.16239316,en,1.30000000,4111234-9,2644688,X,53.79648000,-1.54785000,EUROPE,United Kingdom,NEU
Beaufort,Beaufort,GPE,0.06009130,0.93217754,en,1.30000000,,-1,,,,,,
eastern Ontario,eastern Ontario,LOC,-0.92307692,1.53846154,en,1.30000000,,-1,,,,,,
Northern Canada,Northern Canada,LOC,-0.15384615,0.73076923,en,1.30000000,,-1,,,,,,
Prairies,Prairies,LOC,0.10073260,0.52197802,en,1.30000000,,-1,,,,,,
North Atlantic,North Atlantic,LOC,-0.92307692,1.53846154,en,1.30000000,,-1,,,,,,
Oklahoma,Oklahoma,GPE,0.10489510,0.34965035,en,1.30000000,4102053-4,4544379,X,35.49208900,-97.50328000,NORTH-AMERICA,United States,CNA
Morocco,Morocco,GPE,0.18881119,0.52680653,en,1.30000000,4037680-1,2542007,X,32.00000000,-5.00000000,EUROPE-AFRICA,Morocco,MED
Davos,Davos,GPE,-0.30769231,1.15384615,en,1.30000000,4011220-2,2661039,X,46.80416600,9.83722200,EUROPE,Switzerland,WCE
